vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
99.89,56.74,20.49,33.49,14.6
99.89,76.3,20.55,33.51,23.44
99.89,56.64,20.61,33.53,14.63
99.93,75.61,20.47,33.53,25.76
99.89,56.95,20.49,33.52,14.64
99.89,76.44,20.52,33.51,26.93
50.08,56.35,20.57,33.51,14.61
99.89,76.06,20.49,33.49,25.2
99.89,56.35,20.54,33.51,14.6
99.89,77.3,20.52,33.51,26.73
99.89,56.2,20.57,33.51,14.63
99.89,75.4,20.45,33.5,26.45
99.89,57.17,20.51,33.51,14.63
50.07,76.44,20.53,33.51,25.42
99.93,56.06,20.46,33.51,14.61
99.87,75.41,20.58,33.51,24.7
99.89,57.09,20.46,33.51,14.63
99.89,75.38,20.53,33.49,26.62
99.89,56.56,20.45,33.51,15.37
99.84,76.31,20.55,33.51,27.07
50.08,56.37,20.5,33.51,14.88
99.89,78.1,20.5,33.51,22.83
99.89,56.54,20.63,33.51,14.63
99.84,75.76,20.5,33.5,22.88
99.89,56.26,20.49,33.51,83.5
99.92,76.67,20.47,33.51,25.16
99.89,55.84,20.53,33.49,14.63
50.06,77.75,20.51,33.51,25.82
99.82,57,20.49,33.51,15.37
99.89,75.07,20.51,33.51,23.39
99.89,56.31,20.53,33.51,14.59
99.91,76.19,20.52,33.5,22.95
99.89,56.46,20.48,33.51,14.59
99.89,74.44,20.51,33.51,23.97
50.05,56.93,20.46,33.51,14.62
99.92,76.14,20.53,33.51,24.42
99.84,56.42,20.52,33.51,14.64
99.87,76.85,20.49,33.5,25.09
99.89,57,20.53,33.51,14.61
99.89,76.41,20.49,33.51,24.99
99.89,56.36,20.53,33.51,14.63
50.08,75.68,20.51,33.5,23.22
99.89,56.75,20.51,33.49,14.52
99.89,76.99,20.58,33.49,24.27
99.89,56.59,20.5,33.51,14.5
99.89,76.26,20.54,33.51,22.85
99.89,56.63,20.54,33.51,14.62
99.89,75.94,20.51,33.51,24.3
50.04,56.99,20.53,33.51,14.63
99.89,75.97,20.45,33.55,25.64
99.89,57.11,20.57,33.51,14.63
99.89,75.77,20.44,33.49,22.94
99.89,55.81,20.46,33.51,14.61
99.89,75.55,20.54,33.51,24.07
99.89,56.93,20.52,33.51,14.63
50.08,76.55,20.54,33.51,24.32
99.93,56.34,20.5,33.48,14.64
99.89,75.1,20.53,33.51,25.12
99.89,57.29,20.43,33.51,14.63
99.89,76.71,20.53,33.51,22.08
99.89,56.61,20.55,33.51,14.62
99.89,76.25,20.47,33.51,23.97
50.08,56.46,20.5,33.51,14.61
99.89,75.01,20.53,33.51,23.63
99.89,57.23,20.53,33.49,14.49
99.89,76.18,20.48,33.5,23.01
99.84,56.95,20.51,33.51,14.54
99.89,76.55,20.5,33.51,23.84
99.87,56.44,20.58,33.51,14.6
50.08,76.54,20.52,33.51,22.12
99.89,56.51,20.5,33.51,14.62
99.89,76.34,20.48,33.49,23.89
99.89,56.86,20.49,33.51,14.62
99.8,76.56,20.48,33.5,24.05
99.89,56.87,20.51,33.51,14.59
99.89,76.64,20.55,33.53,23.3
50.08,56.73,20.47,33.51,14.61
99.89,76.86,20.48,33.51,23.24
99.89,56.89,20.53,33.51,14.59
99.89,76.9,20.51,33.49,23.33
99.89,56.75,20.49,33.52,14.64
99.87,77.66,20.51,33.49,21.78
99.89,57.1,20.53,33.51,14.61
50.08,75.62,20.5,33.49,25.35
99.89,56.93,20.51,33.51,14.64
99.89,76.73,20.52,33.51,25.05
99.84,56.67,20.44,33.51,14.61
99.91,76.31,20.6,33.51,21.64
99.89,56.96,20.48,33.49,14.62
99.89,75.99,20.49,33.51,21.03
50.08,56.57,20.51,33.53,14.48
99.89,75.68,20.53,33.49,23.06
99.89,56.25,20.46,33.51,14.62
99.89,77.7,20.53,33.51,22.15
99.89,56.91,20.5,33.51,14.61
99.89,76.42,20.54,33.51,23.5
99.89,56.98,20.54,33.51,14.64
50.08,76.11,20.57,33.5,23.59
99.89,56.47,20.57,33.51,14.36
99.89,76.49,20.53,33.51,22.39
99.89,56.35,20.53,33.51,14.45
99.89,75.51,20.49,33.51,23.28
99.89,56.84,20.54,33.51,14.57
99.89,76.45,20.58,33.49,21.75
50.07,56.83,20.5,33.51,14.61
99.89,75.74,20.45,33.51,23.73
99.89,56.97,20.57,33.51,14.62
99.89,76.3,20.5,33.51,23.82
99.89,56.69,20.57,33.51,14.51
99.89,76.37,20.47,33.51,23.87
99.87,56.45,20.43,33.51,14.61
50.08,76.15,20.54,33.49,22.72
99.89,56.11,20.48,33.51,14.57
99.89,75.15,20.58,33.51,20.03
99.89,56.01,20.54,33.51,14.61
99.89,76.5,20.55,33.51,21.52
99.89,56.57,20.47,33.51,14.63
99.89,75.66,20.53,33.49,21.33
50.08,57.23,20.55,33.51,14.5
99.89,76.42,20.53,33.51,22.78
99.89,56.22,20.51,33.51,14.6
99.89,76.36,20.51,33.51,22.81
99.89,56.82,20.42,33.51,14.61
99.89,76.08,20.53,33.51,21.86
99.89,57.32,20.46,33.51,14.64
50.08,76.24,20.53,33.51,22.14
99.89,57.05,20.53,33.5,14.59
99.89,76.19,20.53,33.51,22.92
99.88,56.64,20.48,33.51,14.6
99.89,77.32,20.58,33.51,21.39
99.89,56.65,20.54,33.49,14.63
99.89,75.93,20.54,33.51,22.69
50.08,56.36,20.49,33.51,14.64
99.89,76.57,20.51,33.51,21.57
99.89,56.96,20.59,33.51,14.43
99.82,78.49,20.53,33.51,22.43
99.89,56.79,20.56,33.51,15.39
99.92,75.05,20.54,33.51,22.1
99.89,56.49,20.48,33.51,14.62
50.06,76.15,20.54,33.51,21.48
99.89,56.95,20.53,33.49,14.62
99.89,75.83,20.53,33.51,21.37
99.89,57.15,20.46,33.51,14.61
99.89,75.82,20.56,33.49,23.1
99.89,56.58,20.53,33.51,14.63
99.83,76.07,20.51,33.51,22.14
50.08,56.71,20.49,33.51,14.57
99.89,77.91,20.48,33.51,23.71
99.89,56.37,20.49,33.51,14.56
99.89,75.45,20.51,33.49,22.32
99.89,56.49,20.44,33.51,14.61
99.89,76.45,20.54,33.51,23.18
99.89,56.95,20.47,33.49,14.62
50.08,76.58,20.51,33.49,22.5
99.89,57.21,20.5,33.51,15.17
99.89,76.6,20.56,33.55,21.57
99.89,56.64,20.47,33.51,14.63
99.87,75.65,20.57,33.51,20.61
99.8,56.9,20.48,33.51,14.59
99.89,76.65,20.6,33.51,22.23
50.08,56.52,20.55,33.51,14.59
99.89,76.12,20.54,33.51,23.47
99.89,56.42,20.52,33.51,14.63
99.8,75.86,20.5,33.51,20.43
99.89,56.38,20.58,33.51,14.63
99.91,78.71,20.52,33.51,20.47
99.89,56.83,20.47,33.51,14.57
50.09,75.51,20.48,33.51,21.93
99.89,56.13,20.51,33.51,14.61
99.89,75.9,20.5,33.51,21.33
99.89,56.06,20.46,33.51,14.58
99.82,76.92,20.5,33.5,22.71
99.84,56.81,20.49,33.51,15.35
99.89,76.53,20.45,33.48,22.55
50.08,56.87,20.48,33.51,14.57
99.82,76.28,20.53,33.51,21.22
99.8,56,20.47,33.51,14.58
99.89,76.31,20.58,33.51,25.16
99.89,56.56,20.48,33.51,14.57
99.89,75.49,20.55,33.51,23.36
99.89,56.25,20.5,33.51,14.58
50.08,76.11,20.55,33.49,20.58
99.89,56.15,20.49,33.51,15.39
99.89,76.39,20.53,33.51,23.73
99.89,56.86,20.51,33.51,14.61
99.89,74.62,20.48,33.51,20.37
99.89,57.07,20.52,33.51,14.6
99.89,75.28,20.49,33.51,21.49
50.08,56.66,20.48,33.51,14.63
99.89,75.52,20.53,33.51,22.1
99.89,57.31,20.46,33.51,14.63
99.91,75.6,20.54,33.51,22.74
99.89,57.1,20.55,33.51,14.61
99.89,76.02,20.54,33.51,21.8
99.8,56.85,20.55,33.5,14.61
50.08,75.92,20.49,33.51,22.78
99.89,56.81,20.54,33.51,14.62
99.89,74.85,20.45,33.51,24.81
99.89,56.34,20.49,33.51,14.62
99.89,76.17,20.51,33.51,22.52
99.89,56.76,20.56,33.51,14.63
99.89,76.67,20.53,33.5,22.91
50.08,57.06,20.52,33.51,14.62
99.89,76.48,20.49,33.51,23.13
99.89,56.43,20.53,33.49,14.63
99.89,75.75,20.49,33.51,22.52
99.89,56.67,20.5,33.51,14.63
99.93,74.89,20.46,33.49,21.22
99.89,56.33,20.5,33.51,14.63
50.04,75.73,20.48,33.51,21.79
99.89,56.88,20.47,33.51,14.61
99.89,76.01,20.48,33.51,21.87
99.87,56.44,20.49,33.51,14.58
99.89,76.83,20.46,33.51,23.34
99.89,56.73,20.4,33.51,14.5
99.89,76.36,20.5,33.51,20.72
50.08,56.3,20.57,33.51,14.63
99.89,76.02,20.46,33.51,22.35
99.89,57.09,20.55,33.49,14.58
99.89,75.85,20.58,33.51,20.98
99.89,57.43,20.47,33.51,14.62
99.89,76.49,20.51,33.48,23.64
99.89,56.42,20.5,33.51,14.51
50.08,75.92,20.53,33.51,23.58
99.89,57.08,20.62,33.51,14.52
99.89,76.34,20.46,33.5,23.06
99.89,56.43,20.49,33.51,14.55
99.89,76.58,20.52,33.51,24.15
99.87,56.52,20.55,33.51,14.64
99.89,76.29,20.48,33.51,22.7
50.08,56.5,20.55,33.53,14.62
99.89,75.64,20.51,33.51,22.3
99.89,56.93,20.49,33.48,14.62
99.89,76.4,20.5,33.51,22.07
99.91,56.64,20.47,33.51,14.62
99.89,76.05,20.54,33.51,22.13
99.89,56.47,20.52,33.53,14.6
50.08,78.46,20.52,33.51,20.59
99.89,56.11,20.55,33.49,14.62
99.89,76.6,20.51,33.51,21.16
99.89,56.69,20.52,33.51,14.62
99.89,76.35,20.54,33.51,21.87
99.89,56.56,20.56,33.51,15.37
99.91,77.18,20.51,33.51,20.65
50.08,56.47,20.54,33.51,14.61
99.89,75.7,20.47,33.51,21.24
99.89,57.17,20.5,33.49,15.61
99.89,75.98,20.58,33.51,20.28
99.89,57.24,20.52,33.51,14.62
99.89,75.52,20.55,33.51,20.09
99.89,56.98,20.53,33.51,14.5
50.08,76.15,20.51,33.51,22.95
99.84,56.42,20.48,33.51,14.59
99.84,75.94,20.46,33.51,20.05
99.89,56.77,20.52,33.5,14.64
99.89,76.11,20.57,33.51,20.53
99.89,56.9,20.55,33.51,14.64
99.89,75.73,20.49,33.51,20.83
50.08,57.05,20.55,33.51,14.63
99.82,76.33,20.47,33.51,21.14
99.89,56.56,20.46,33.51,14.6
99.89,77.08,20.52,33.51,21.35
99.89,55.98,20.52,33.51,14.62
99.89,78.07,20.61,33.51,20.29
99.89,56.35,20.5,33.49,14.62
50.11,76.45,20.51,33.51,20.4
99.89,56.73,20.47,33.53,14.57
99.89,77.33,20.53,33.5,20.47
99.89,56.65,20.59,33.51,14.62
99.89,76.22,20.47,33.51,22.22
99.91,56.71,20.47,33.51,14.61
99.89,76.49,20.52,33.51,20.29
50.08,56.96,20.49,33.51,14.64
99.84,76.26,20.52,33.48,20.92
99.84,57.08,20.49,33.51,14.4
99.84,77.01,20.53,33.51,19.69
99.8,56.88,20.53,33.5,14.64
99.89,76.6,20.54,33.51,21.41
99.89,56.68,20.47,33.51,14.63
50.11,75.9,20.49,33.49,20.54
99.89,56.09,20.51,33.51,14.62
99.89,76.12,20.48,33.49,20.23
99.89,57.36,20.5,33.51,14.52
99.89,76.33,20.51,33.5,20.3
99.89,56.18,20.52,33.51,14.64
99.84,77.59,20.51,33.51,19.73
50.08,56.93,20.54,33.51,14.62
99.89,74.02,20.58,33.51,21.21
99.89,57.05,20.57,33.51,14.64
99.89,76.2,20.52,33.51,22.04
99.89,56.68,20.48,33.51,14.61
99.89,77.24,20.42,33.51,21.79
99.89,56.84,20.57,33.51,14.64
50.08,75.53,20.49,33.51,21.47
99.89,56.51,20.51,33.51,14.63
99.89,76.07,20.5,33.53,20.31
99.89,56.33,20.5,33.49,14.45
99.89,77.42,20.54,33.51,19.96
99.89,56.51,20.56,33.51,15.39
99.89,76.69,20.51,33.51,22.87
50.08,55.94,7.46,33.51,14.61
99.89,75.93,7.45,33.48,19.73
99.89,56.63,7.45,33.51,14.62
99.89,77.31,10.06,33.51,21.65
99.89,57.16,10.97,33.51,14.59
99.82,77.79,10.39,33.51,21.21
99.84,57.02,32.87,33.51,14.49
50.08,76.11,32.72,33.51,20.48
99.87,56.99,32.42,33.51,14.61
99.87,76.17,20.5,33.51,21.28
99.89,56.77,7.46,33.51,14.52
99.89,76.29,7.45,33.51,20.98
99.91,56.67,7.45,33.53,14.62
99.89,76.24,10.12,33.51,20.82
50.08,56.24,10.05,33.51,14.5
99.89,78.14,10.39,33.49,20.9
99.84,56.94,33.03,33.51,14.62
99.89,76.75,32.28,33.5,18.33
99.89,56.81,33.37,33.53,14.59
99.82,77.1,20.53,33.51,20.49
99.89,56.34,7.44,33.49,14.64
50.08,76.24,7.44,33.51,20.88
99.89,56.56,7.45,33.51,14.51
99.89,75.89,10.04,33.51,20.6
99.91,57.16,10.11,33.51,14.64
99.89,76.27,10.39,33.51,20.32
99.89,56.17,33.69,33.51,14.62
99.89,76.48,33.23,33.49,19.64
50.08,56.24,32.69,33.51,14.6
99.89,76.46,20.56,33.51,19.17
99.89,56.38,7.44,33.51,14.6
99.89,76.23,7.45,33.51,20.13
99.88,56.38,7.45,33.49,14.62
99.91,76.44,10.04,33.51,20.5
99.89,56.58,10.17,33.51,14.59
50.08,75.14,10.39,33.51,19.94
99.93,56.95,33.38,33.53,14.62
99.89,76.71,33.38,33.5,22.18
99.89,57.03,32.55,33.51,14.59
99.89,76.19,20.48,33.51,20.78
99.84,57.02,7.45,33.51,14.51
99.89,74.78,7.44,33.51,20.79
50.08,57.01,7.46,33.53,14.6
99.89,76.57,9.98,33.51,20.17
99.89,56.57,10.07,33.51,14.62
99.89,76.02,10.39,33.51,20.78
99.89,56.31,33.52,33.51,14.63
99.89,75.74,34.11,33.51,21.51
99.89,55.95,32.44,33.51,14.64
50.08,76.02,20.5,33.51,23.03
99.89,56.13,7.45,33.51,14.63
99.89,77.5,7.45,33.51,22.16
99.89,56.26,7.45,33.51,14.56
99.89,76.31,10.07,33.51,22.19
99.89,56.39,9.97,33.51,14.56
99.89,76.53,10.28,33.51,20.6
50.08,56.42,33.78,33.51,14.64
99.89,76.2,32.14,33.51,21.9
99.89,55.9,32.02,33.51,14.58
99.89,75.86,20.54,33.51,21.44
99.92,56.65,7.45,33.51,14.61
99.89,76.29,7.43,33.51,21.7
99.89,56.34,7.45,33.51,14.52
50.08,77.25,10.15,33.51,19.92
99.89,56.5,10.11,33.51,14.53
99.89,76.89,10.39,33.51,19.44
99.89,57.05,32.91,33.51,14.59
99.89,75.64,32.78,33.51,19.76
99.89,56.67,32.48,33.51,14.63
99.91,76.47,20.52,33.51,20.13
50.08,56.32,7.45,33.5,14.55
99.89,78.01,7.44,33.51,19.62
99.89,56.59,7.44,33.51,14.57
99.89,76.99,10.14,33.51,21.58
99.89,56.54,10.14,33.51,14.59
99.89,76.17,10.39,33.51,19.73
99.89,56.11,33.42,33.51,14.63
50.07,76.17,33.14,33.51,18.95
99.84,57.27,33.61,33.49,14.62
99.89,76.3,20.5,33.51,19.34
99.89,56.37,7.44,33.51,14.63
99.89,76,7.45,33.49,20.56
99.89,56.53,7.46,33.51,14.63
99.89,76.54,10.13,33.51,18.65
50.09,56.79,10.05,33.51,14.61
99.89,76.77,10.39,33.49,19.86
99.89,56.56,33.5,33.51,14.6
99.82,77.01,33.45,33.51,21.59
99.88,56.44,32.74,33.53,14.62
99.89,76.66,20.54,33.51,20.83
99.89,56.02,7.46,33.51,14.52
50.08,76.25,7.45,33.51,19.24
99.8,56.65,7.45,33.51,14.63
99.89,78.18,10.09,33.51,19.86
99.89,57.16,10.07,33.51,14.49
99.91,75.61,10.39,33.51,21.03
99.89,56.16,32.8,33.51,14.63
99.89,76.97,32.58,33.51,20.09
50.08,56.67,32.9,33.51,14.51
99.89,76.18,20.5,33.51,19.9
99.89,56.78,7.45,33.51,14.64
99.89,76.53,7.45,33.51,20.07
99.89,57.01,7.45,33.51,15.33
99.89,76.11,10.05,33.51,19.14
99.91,56.86,10.06,33.51,14.47
50.08,77.37,10.39,33.49,21.17
99.89,56.58,33.2,33.53,14.51
99.89,75.52,32.77,33.5,18.38
99.89,56.63,32.95,33.51,14.61
99.89,76.36,20.49,33.51,20.36
99.89,56.6,7.45,33.51,14.63
99.89,76.81,7.46,33.51,20.3
50.08,57.21,7.44,33.51,14.63
99.89,75.1,10.15,33.51,18.8
99.89,56.92,10.11,33.51,14.62
99.89,76.16,10.39,33.51,18.56
99.89,56.21,32.12,33.51,14.59
99.89,77.92,33.05,33.51,19.67
99.89,56.31,32.9,33.51,14.63
50.04,76.22,20.5,33.53,18.34
99.89,56.57,7.45,33.51,14.58
99.89,76.53,7.46,33.51,20.33
99.89,56.88,7.44,33.51,14.63
99.89,76.74,10.04,33.51,19.34
99.89,56.35,10.06,33.51,14.61
99.89,76.49,10.39,33.51,20.05
50.04,57.11,33.92,33.51,14.59
99.89,76.15,32.81,33.51,18.57
99.8,57.08,33.01,33.49,14.61
99.89,77.03,20.53,33.51,20.74
99.89,57.39,7.45,33.51,14.62
99.89,77.04,7.46,33.49,19.24
99.88,56.54,7.45,33.51,14.64
50.08,76.42,10.09,33.51,18.53
99.89,56.2,10.11,33.51,14.63
99.89,76.03,10.39,33.51,20.17
99.89,56.81,33.95,33.51,14.61
99.89,76.35,32.86,33.51,20.47
99.89,56.62,31.89,33.49,14.61
99.89,76.59,20.57,33.51,20.63
50.08,56.66,7.45,33.5,14.6
99.89,76.64,7.43,33.51,20.06
99.89,56.82,7.45,33.51,14.61
99.91,76.42,10.14,33.51,18.34
99.89,56.99,10.04,33.51,14.63
99.89,76.68,10.39,33.51,19.99
99.89,55.91,33.06,33.48,14.6
50.08,75.92,32.81,33.51,18.62
99.89,55.65,33.43,33.51,14.63
99.89,75.16,20.55,33.51,19.35
99.91,56.99,7.45,33.51,14.63
99.89,76.36,7.46,33.51,20.31
99.89,56.66,7.46,33.49,14.63
99.89,76.43,10.02,33.51,19.57
50.11,56.48,10.07,33.51,14.62
99.89,76.29,10.39,33.51,20.47
99.89,57.01,33.11,33.51,14.6
99.89,76.37,33.53,33.51,19.79
99.89,56.4,32.39,33.49,14.49
99.89,76.54,20.44,33.51,18.51
99.89,57.05,7.45,33.51,14.64
50.08,76.76,7.44,33.51,18.19
99.89,56.43,7.42,33.51,14.63
99.84,76.04,10.08,33.51,19.43
99.89,56.57,10.09,33.49,14.6
99.91,77.21,10.39,33.51,18.07
99.89,56.55,32.8,33.51,14.59
99.89,76.18,32.91,33.48,17.71
50.08,56.52,33.12,33.51,14.64
99.89,76.51,20.51,33.51,19.41
99.89,56.49,7.39,33.51,14.62
99.92,77.2,7.45,33.51,18.52
99.89,57.03,7.45,33.51,14.61
99.89,77.23,10.09,33.49,19.29
99.89,56.7,10.14,33.51,14.63
50.08,76.67,10.39,33.51,19.75
99.89,56.39,33.33,33.51,14.6
99.89,76.26,32.14,33.53,18.21
99.89,56.55,32.49,33.51,14.64
99.89,76.29,20.46,33.51,17.96
99.89,56.75,7.45,33.48,14.64
99.89,76.57,7.44,33.51,19.5
50.08,56.7,7.44,33.51,14.59
99.89,77.02,10.08,33.51,18.32
99.89,56.41,10.16,33.49,14.51
99.89,76,10.39,33.51,20.62
99.89,56.16,33.67,33.51,14.56
99.89,76.32,32.8,33.51,19.17
99.84,56.06,33.18,33.5,14.62
50.08,74.84,20.49,33.51,18.58
99.89,56.44,7.44,33.49,14.62
99.89,75.59,7.45,33.51,20.34
99.89,56.9,7.45,33.51,14.63
99.89,75.94,10.08,33.51,18.2
99.89,56.33,10.03,33.5,14.61
99.84,75.58,10.39,33.51,19.45
50.08,56.62,33.1,33.51,14.62
99.84,75.83,32.49,33.51,19.46
99.89,56.72,33.2,33.51,14.63
99.89,75.84,20.51,33.51,18.56
99.89,56.84,7.45,33.51,14.64
99.89,76.59,7.44,33.51,18.26
99.89,57.13,7.45,33.49,14.63
50.08,76.18,10.14,33.51,17.98
99.89,56.9,9.99,33.51,14.63
99.89,76.07,10.39,33.5,21.01
99.89,56.41,33.45,33.51,14.61
99.89,78.79,32.96,33.51,21.08
99.89,56.91,32.48,33.51,14.63
99.89,76.18,20.49,33.51,18.5
50.07,56.79,7.44,33.51,14.63
99.84,75.84,7.38,33.51,18.6
99.89,57.03,7.45,33.51,14.62
99.89,77.02,10.12,33.51,20.55
99.89,57.03,10.12,33.49,14.61
99.89,76.63,10.39,33.51,18.61
99.89,56.17,33.53,33.51,14.56
50.08,77.2,32.61,33.51,20.07
99.89,57.09,32.92,33.51,14.58
99.89,77.09,20.55,33.49,18.02
99.89,56.93,7.8,33.51,14.63
99.89,76.22,7.45,33.5,19.29
99.89,56.19,7.45,33.51,14.64
99.89,75.99,10.13,33.49,18.67
50.06,56.69,10.1,33.51,14.52
99.89,77.81,10.39,33.51,18.52
99.89,57.12,33.28,33.51,14.58
99.85,76.2,31.81,33.51,18.33
99.84,56.86,33.06,33.51,14.57
99.89,75.97,20.58,33.5,18.37
99.89,56.77,7.45,33.51,14.63
50.08,75.99,7.45,33.48,17.93
99.89,57.45,7.46,33.51,14.63
99.89,76.01,10.07,33.51,20.97
99.89,56.77,10.05,33.51,14.61
99.89,76.11,10.39,33.51,18.9
99.84,56.91,33.06,33.51,14.62
99.89,77.41,33.09,33.51,21.09
50.08,56.46,33.33,33.51,14.61
99.8,76.42,20.49,33.5,18.96
99.89,56.41,7.44,33.51,14.64
99.89,76.87,7.44,33.51,18.06
99.89,56.5,7.45,33.51,14.59
99.89,76.2,10.09,33.51,17.3
99.89,56.58,10.06,33.49,14.62
50.08,76.03,10.39,33.51,18.94
99.89,57.04,33.14,33.51,14.64
99.89,76.86,33.18,33.51,18.21
99.89,56.34,32.57,33.51,14.64
